year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-390000,-4.492,258.1,-0.397,0.013,0.394,4.283,487.315,341.978,1.916,1.055,0.397
-388000,-5.025,245.8,-0.659,0.012,0.398,4.936,490.517,341.974,1.854,0.978,0.388
-386000,-4.433,246.8,-0.637,0.011,0.401,5.589,490.735,341.97,1.791,0.96,0.382
-384000,-3.596,239.1,-0.806,0.01,0.406,4.162,489.344,341.966,1.728,1.016,0.376
-382000,-4.529,240.0,-0.786,0.008,0.41,0.649,489.043,341.962,1.665,1.016,0.372
-380000,-4.241,227.0,-1.084,0.007,0.414,1.366,492.28,341.959,1.603,1.077,0.369
-378000,-5.052,227.05,-1.083,0.006,0.418,2.127,498.19,341.956,1.54,1.187,0.388
-376000,-5.799,227.1,-1.082,0.005,0.421,2.977,505.627,341.954,2.205,1.259,0.421
-374000,-7.201,214.7,-1.382,0.004,0.423,3.929,511.842,341.953,2.87,1.351,0.454
-372000,-6.014,199.9,-1.764,0.004,0.424,4.938,513.405,341.953,2.844,1.433,0.467
-370000,-5.85,201.9,-1.711,0.005,0.423,5.891,510.785,341.954,2.818,1.485,0.468
-368000,-7.373,204.1,-1.653,0.006,0.421,0.44,503.567,341.957,2.792,1.56,0.468
-366000,-7.492,206.3,-1.596,0.008,0.418,1.207,495.324,341.96,2.767,1.564,0.468
-364000,-7.557,201.2,-1.73,0.009,0.413,1.904,489.054,341.965,2.741,1.587,0.468
-362000,-7.443,193.5,-1.939,0.011,0.408,2.582,485.911,341.971,2.715,1.649,0.468
-360000,-7.955,185.8,-2.156,0.013,0.403,3.239,486.987,341.979,2.689,1.71,0.468
-358000,-8.401,189.55,-2.049,0.015,0.398,3.888,489.451,341.987,2.663,1.724,0.467
-356000,-8.755,199.375,-1.779,0.016,0.394,4.528,490.075,341.996,2.638,1.692,0.466
-354000,-8.767,209.2,-1.521,0.018,0.39,5.164,487.134,342.006,2.612,1.658,0.463
-352000,-7.81,212.8,-1.43,0.02,0.389,5.8,478.67,342.017,2.586,1.566,0.46
-350000,-7.471,221.1,-1.225,0.021,0.39,0.146,468.053,342.029,2.56,1.46,0.459
-348000,-7.289,220.3,-1.245,0.023,0.393,0.77,459.37,342.04,2.707,1.405,0.461
-346000,-7.838,211.9,-1.453,0.024,0.397,1.388,455.863,342.051,2.853,1.345,0.465
-344000,-8.478,205.0,-1.63,0.026,0.402,1.997,462.698,342.063,3.0,1.25,0.467
-342000,-8.755,200.7,-1.743,0.027,0.407,2.598,477.109,342.075,3.002,1.216,0.467
-340000,-7.497,250.1,-0.566,0.028,0.413,3.19,498.331,342.086,3.004,1.239,0.467
-338000,-5.082,238.567,-0.818,0.029,0.417,3.776,519.849,342.097,3.005,1.207,0.467
-336000,-3.052,263.1,-0.295,0.03,0.421,4.355,534.501,342.107,3.007,1.227,0.467
-334000,0.468,285.275,0.138,0.031,0.423,4.929,540.015,342.117,3.009,1.212,0.467
-332000,-0.648,283.25,0.1,0.032,0.423,5.501,531.26,342.126,3.011,1.218,0.467
-330000,-1.387,269.767,-0.161,0.033,0.422,6.073,514.228,342.135,3.013,1.244,0.468
-328000,-1.832,273.5,-0.087,0.034,0.419,0.361,492.271,342.143,3.015,1.295,0.468
-326000,-2.706,266.733,-0.221,0.034,0.415,0.933,472.237,342.15,3.016,1.217,0.468
-324000,-3.222,262.333,-0.31,0.035,0.41,1.51,461.149,342.156,3.018,1.198,0.466
-322000,-3.589,258.8,-0.383,0.035,0.405,2.091,458.911,342.162,3.02,1.144,0.454
-320000,-4.451,249.2,-0.585,0.036,0.401,2.674,468.265,342.167,2.273,1.167,0.439
-318000,-5.247,244.6,-0.685,0.036,0.397,3.26,482.994,342.171,2.233,1.102,0.425
-316000,-4.393,256.467,-0.431,0.036,0.395,3.85,498.369,342.174,2.193,1.083,0.419
-314000,-3.206,251.95,-0.526,0.036,0.394,4.44,509.003,342.176,2.153,0.999,0.415
-312000,-4.065,250.067,-0.567,0.036,0.394,5.028,508.602,342.177,2.112,1.042,0.413
-310000,-4.573,238.4,-0.822,0.036,0.396,5.615,500.055,342.177,2.072,1.13,0.412
-308000,-5.491,229.067,-1.036,0.036,0.399,4.103,484.709,342.176,2.032,1.117,0.41
-306000,-5.458,235.3,-0.892,0.036,0.403,0.493,469.414,342.175,1.992,1.094,0.407
-304000,-5.723,246.5,-0.643,0.036,0.407,1.067,460.843,342.171,1.952,1.128,0.405
-302000,-4.69,238.1,-0.829,0.036,0.411,1.636,460.179,342.167,1.911,1.19,0.404
-300000,-5.678,237.55,-0.841,0.035,0.414,2.199,471.109,342.162,1.871,1.19,0.401
-298000,-5.672,227.7,-1.068,0.035,0.416,2.76,488.369,342.155,1.831,1.163,0.396
-296000,-6.569,217.1,-1.323,0.034,0.418,3.316,508.61,342.147,1.791,1.11,0.39
-294000,-5.871,212.9,-1.427,0.033,0.419,3.87,525.994,342.138,1.75,1.075,0.384
-292000,-5.26,206.35,-1.595,0.032,0.418,4.422,533.642,342.128,1.71,1.078,0.378
-290000,-4.59,212.35,-1.441,0.031,0.417,4.972,532.165,342.117,1.67,1.014,0.375
-288000,-2.966,227.65,-1.069,0.03,0.414,5.52,519.443,342.106,1.698,1.014,0.374
-286000,-2.291,230.933,-0.992,0.029,0.412,6.066,501.902,342.094,1.727,0.994,0.378
-284000,-2.239,227.2,-1.08,0.028,0.408,0.326,483.508,342.083,1.756,1.075,0.382
-282000,-2.448,231.3,-0.984,0.027,0.405,0.865,468.299,342.072,1.784,1.057,0.387
-280000,-3.094,219.5,-1.264,0.025,0.401,1.397,460.587,342.061,1.812,1.093,0.389
